Date,Close,Adj Close,Volume,Open,High,Low
04/11/2022,14.1,13.29,23200,14.25,14.25,14
03/11/2022,14.6,13.77,27400,14.15,14.6,14.15
02/11/2022,14.6,13.77,7900,14.75,14.75,14.4
01/11/2022,14.65,13.81,164400,14.75,14.75,14.1
31/10/2022,14.75,13.91,80200,14.2,14.8,14
28/10/2022,14.1,13.29,24600,14.15,14.15,13.7
27/10/2022,14,13.2,87500,13.3,14,13.3
26/10/2022,13.25,12.49,6100,13.55,13.55,13
25/10/2022,13.3,12.54,195800,12.95,13.4,12.7
24/10/2022,13,12.26,82000,13.6,13.6,12.7
21/10/2022,13.4,12.63,50400,13.65,13.65,13.2
20/10/2022,13.9,13.11,14200,13.95,14,13.8
19/10/2022,13.95,13.15,24100,13.55,13.95,13.55
18/10/2022,13.65,12.87,18900,13.8,13.8,13.4
17/10/2022,13.5,12.73,11800,13.6,13.65,13.4
14/10/2022,13.6,12.82,35600,13.35,13.6,13.35
13/10/2022,13.4,12.63,27800,13.4,13.5,13.3
12/10/2022,13.45,12.68,104500,12.5,13.5,12.4
11/10/2022,12.75,12.02,45900,13.5,13.5,12.7
10/10/2022,13.25,12.49,52900,13,13.45,12.7
07/10/2022,13.3,12.54,124400,13.9,13.9,13
06/10/2022,13.6,12.82,69900,13.95,13.95,13.6
05/10/2022,13.95,13.15,45500,13.85,14.2,13.85
04/10/2022,13.85,13.06,70400,14.2,14.2,13.75
03/10/2022,14.15,13.34,56900,14.5,14.5,13.85
30/09/2022,14.5,13.67,90400,14.3,14.5,13.85
29/09/2022,14.3,13.48,73600,14.2,15,14.1
28/09/2022,14.25,13.44,75700,14.5,14.5,14.15
27/09/2022,14.65,13.81,31300,14.7,14.7,14.5
26/09/2022,14.8,13.95,198300,14.85,14.85,14.1
23/09/2022,15.15,14.28,841500,15.4,15.4,14.9
22/09/2022,15.15,14.28,57900,14.9,15.15,14.9
21/09/2022,15.1,14.24,55800,15.35,15.35,15
20/09/2022,15.35,14.47,70700,15.1,15.35,14.95
19/09/2022,15.1,14.24,121000,15.25,15.45,14.85
16/09/2022,15.4,14.52,33600,15.35,15.45,15.2
15/09/2022,15.35,14.47,80500,15.4,15.85,15.2
14/09/2022,15.3,14.43,55700,15.25,15.3,15.05
13/09/2022,15.4,14.52,25000,15.55,15.55,15.3
12/09/2022,15.4,14.52,66300,15.5,15.7,15.4
09/09/2022,15.4,14.52,58500,15.5,15.5,15.3
08/09/2022,15.4,14.52,62900,15.3,15.6,15.2
07/09/2022,15.4,14.52,85500,15.9,15.9,15.4
06/09/2022,15.75,14.85,82500,15.95,16.05,15.7
05/09/2022,15.95,15.04,125600,15.9,16.2,15.5
31/08/2022,16,15.09,434300,15.25,16.05,15.25
30/08/2022,15.7,14.8,83200,15.6,15.8,15.35
29/08/2022,15.6,14.71,229400,15.5,16,15.15
26/08/2022,15.75,14.85,606500,15.25,15.95,15.25
25/08/2022,15.25,14.38,198000,15.05,15.3,15.05
24/08/2022,15.2,14.33,223400,14.7,15.2,14.5
23/08/2022,14.55,13.72,36700,14.35,14.7,14.2
22/08/2022,14.6,13.77,61900,14.9,14.9,14.25
19/08/2022,14.55,13.72,52500,15,15,14.55
18/08/2022,14.9,14.05,79800,15.25,15.25,14.7
17/08/2022,15.1,14.24,57900,15.15,15.15,14.85
16/08/2022,14.95,14.1,37700,15,15.3,14.9
15/08/2022,15.2,14.33,120700,15,15.2,14.9
12/08/2022,15,14.14,55300,14.9,15.1,14.7
11/08/2022,15,14.14,170800,14.85,15.2,14.8
10/08/2022,14.75,13.91,97100,14.45,14.85,14.45
09/08/2022,14.5,13.67,59400,14.6,14.85,14.5
08/08/2022,14.8,13.95,46100,14.65,14.8,14.4
05/08/2022,14.65,13.81,28600,14.9,14.9,14.5
04/08/2022,14.8,13.95,24300,14.9,14.9,14.6
