Date,Close,Adj Close,Volume,Open,High,Low
29/10/2021,68.8,67.58,"875,400",68.7,69.6,68
28/10/2021,70,68.76,"669,100",70.4,70.4,69
27/10/2021,69.9,68.66,"1,047,900",67.2,71.3,67.2
26/10/2021,67.2,66.01,"290,200",66.4,68,66
25/10/2021,67,65.81,"426,700",67,67.1,66
22/10/2021,67.4,66.21,"432,500",67.6,68.2,67.4
21/10/2021,68.1,66.89,"312,200",67.9,68.3,67.4
20/10/2021,68.5,67.29,"568,600",66.9,68.7,66.5
19/10/2021,66.4,65.22,"510,700",63.3,66.8,63.3
18/10/2021,64.7,63.55,"1,503,700",66.6,67,64.5
15/10/2021,67.2,66.01,"547,700",68.1,68.2,67.2
14/10/2021,68,66.8,"368,100",68,68.9,67.9
13/10/2021,68,66.8,"323,500",68,68.9,67.5
12/10/2021,67.5,66.31,"588,600",68.1,68.5,67
11/10/2021,68.1,66.89,"819,400",68.6,69.5,68.1
08/10/2021,69.5,68.27,"370,800",70.6,70.8,68.5
07/10/2021,70.8,69.55,"431,800",71,71.8,70.6
06/10/2021,70.5,69.25,"505,500",69.2,70.9,68.1
05/10/2021,69.1,67.88,"267,800",69.6,69.6,68.5
04/10/2021,69.6,68.37,"427,000",68.9,70,68.8
01/10/2021,68.8,67.58,"627,400",66.2,69.2,65.5
30/09/2021,66.4,65.22,"204,200",66.2,66.9,66
29/09/2021,66.5,65.32,"231,500",66,66.9,64.5
28/09/2021,65.6,64.44,"414,400",64,65.6,63
27/09/2021,64.2,63.06,"848,600",67.3,67.9,64
24/09/2021,67.5,66.31,"508,300",68.5,69,67
23/09/2021,68.8,67.58,"633,200",70.9,71.9,68.7
22/09/2021,70.6,69.35,"488,000",69,72,68.3
21/09/2021,69,67.78,"871,600",68,70,67.8
20/09/2021,69.6,68.37,"942,400",71.8,72.5,69
17/09/2021,71.8,70.53,"790,800",70.3,74.4,69.8
16/09/2021,70.3,69.06,"475,300",71.7,71.7,69.9
15/09/2021,71,69.74,"620,000",70.5,72.5,69.8
14/09/2021,69.5,68.27,"1,659,000",65,69.5,64.5
13/09/2021,65,63.85,"378,400",65.1,65.3,64.5
10/09/2021,65.2,64.05,"331,400",65,66.5,64.4
09/09/2021,65,63.85,"328,300",64.3,65.7,63.9
08/09/2021,63.7,62.57,"527,500",64.3,64.5,63.4
07/09/2021,63.4,62.28,"685,000",65.5,65.7,63.1
06/09/2021,65.9,64.73,"811,200",66.9,67,65.8
01/09/2021,66.3,65.13,"593,000",64.4,66.6,64.1
31/08/2021,64.6,63.46,"689,200",66.5,67,64.2
30/08/2021,64.2,63.06,"1,159,500",60.9,64.2,60.9
27/08/2021,60,58.94,"495,600",58.5,60,58.1
26/08/2021,58.4,57.37,"482,900",56.8,58.5,56.8
25/08/2021,56.5,55.5,"306,200",55.1,57,55
24/08/2021,56,55.01,"595,300",57.5,58.6,53.5
23/08/2021,57.5,56.48,"764,900",60.9,61,57.5
20/08/2021,61.6,60.51,"777,300",62.1,62.3,59
19/08/2021,62.3,61.2,"439,000",60.3,62.8,60
18/08/2021,60.3,59.23,"527,800",60,60.7,59.9
17/08/2021,71,58.12,"707,400",73,73,70.8
16/08/2021,72.5,59.34,"1,063,200",70.6,73,70.2
13/08/2021,70,57.3,"428,600",70,71.4,69
12/08/2021,70,57.3,"562,100",70.3,70.4,69.2
11/08/2021,69.2,56.64,"788,500",69.5,70.4,68.5
10/08/2021,70,57.3,"495,000",70,71.2,69.5
09/08/2021,70,57.3,"940,200",67.9,70,67.2
06/08/2021,68,55.66,"825,400",69.1,69.5,67.5
05/08/2021,68.6,56.15,"524,200",68,69,67.2
04/08/2021,68,55.66,"646,600",68.2,68.5,67
03/08/2021,67.8,55.5,"700,000",67.1,69,67.1
02/08/2021,67.1,54.92,"708,400",65,67.9,64.9
30/07/2021,65,53.21,"784,000",64.6,66.8,63.9
29/07/2021,65,53.21,"345,100",65.4,65.5,64
28/07/2021,64.9,53.12,"407,400",66,66.5,64.8
27/07/2021,66.5,54.43,"577,000",65.9,68.1,64.6
26/07/2021,65.1,53.29,"462,500",64.5,66,64.4
